                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.3816,                 1.0247,                 1.1301,                0.41477,                0.18819,                0.18944,                0.08923,                 2.3512,                 2.3957,                 1.8722,             0.00052787,             0.00052787,             0.00052787
                    113,                 1.3733,                 1.0191,                 1.1204,                0.54308,                0.17503,                 0.1906,                0.08739,                 2.2903,                 2.3852,                 1.8151,             0.00052512,             0.00052512,             0.00052512
                    114,                 1.3557,                 1.0018,                 1.1273,                0.39817,                0.20037,                0.19608,                0.09427,                 2.2801,                 2.3511,                 1.8384,             0.00052237,             0.00052237,             0.00052237
                    115,                 1.4065,                  1.042,                 1.1587,                0.57586,                0.21505,                0.22128,                0.10047,                 2.3832,                 2.4071,                 1.9042,             0.00051963,             0.00051963,             0.00051963
                    116,                 1.3917,                 1.0275,                 1.1358,                0.33796,                0.21398,                0.18046,                0.08463,                 2.3602,                   2.31,                  1.949,             0.00051688,             0.00051688,             0.00051688
                    117,                 1.3648,                 1.0184,                 1.1255,                0.46047,                 0.2066,                0.18494,                0.08697,                 2.3328,                    2.4,                 1.8865,             0.00051413,             0.00051413,             0.00051413
                    118,                 1.3954,                 1.0356,                 1.1205,                 0.4516,                0.17196,                0.18354,                0.08534,                 2.3697,                 2.4139,                  1.866,             0.00051138,             0.00051138,             0.00051138
                    119,                 1.3748,                 1.0204,                 1.1292,                0.58737,                0.19281,                0.21136,                 0.1057,                 2.3857,                 2.4071,                  1.924,             0.00050863,             0.00050863,             0.00050863
                    120,                 1.3441,                0.99379,                 1.1024,                0.61914,                0.17316,                0.20021,                0.10002,                 2.4076,                  2.361,                 1.9375,             0.00050588,             0.00050588,             0.00050588
                    121,                 1.3289,                0.98518,                 1.1021,                0.49771,                0.19048,                0.21073,                0.09916,                 2.3761,                 2.3639,                 1.9085,             0.00050313,             0.00050313,             0.00050313
                    122,                 1.3629,                 1.0064,                 1.1124,                0.52947,                0.16158,                0.18243,                0.08585,                  2.321,                 2.4776,                 1.8092,             0.00050038,             0.00050038,             0.00050038
                    123,                 1.3698,                0.99471,                 1.1111,                0.56635,                0.17885,                0.19944,                0.09487,                 2.3512,                  2.332,                   1.83,             0.00049763,             0.00049763,             0.00049763
                    124,                 1.3522,                 0.9918,                 1.1116,                0.50094,                0.20761,                0.19602,                 0.0933,                 2.3477,                 2.2917,                 1.8581,             0.00049489,             0.00049489,             0.00049489
                    125,                 1.3111,                0.95587,                 1.1006,                0.51505,                 0.1729,                0.19104,                0.08561,                   2.34,                 2.3259,                 1.9381,             0.00049214,             0.00049214,             0.00049214
                    126,                 1.3211,                0.96815,                 1.0937,                0.19392,                0.26289,                0.20181,                 0.0961,                 2.3396,                 2.3788,                 1.9258,             0.00048939,             0.00048939,             0.00048939
                    127,                  1.332,                0.97212,                 1.1038,                0.41839,                0.19258,                0.19759,                0.09396,                   2.35,                  2.446,                 1.9162,             0.00048664,             0.00048664,             0.00048664
                    128,                 1.3219,                0.97036,                 1.0914,                0.49921,                0.17645,                 0.1957,                0.09106,                 2.4148,                  2.467,                 1.9748,             0.00048389,             0.00048389,             0.00048389
                    129,                 1.3188,                 0.9525,                 1.0925,                0.52023,                0.17935,                0.19459,                0.08871,                 2.3772,                 2.3244,                 1.9462,             0.00048114,             0.00048114,             0.00048114
                    130,                 1.2835,                 0.9346,                 1.0934,                0.54016,                0.18164,                0.18831,                0.09098,                 2.4152,                 2.3743,                 1.9116,             0.00047839,             0.00047839,             0.00047839
                    131,                 1.3432,                0.97904,                  1.114,                0.21385,                0.20248,                0.18933,                0.08515,                 2.3565,                 2.4103,                 1.8868,             0.00047564,             0.00047564,             0.00047564
                    132,                 1.2923,                0.93736,                 1.0872,                 0.2997,                0.18982,                 0.1986,                0.08951,                 2.4009,                 2.3497,                 1.9489,             0.00047289,             0.00047289,             0.00047289
                    133,                 1.3495,                 0.9737,                 1.1068,                0.49727,                0.17477,                0.16857,                0.07879,                 2.3385,                 2.5003,                 1.8616,             0.00047015,             0.00047015,             0.00047015
                    134,                 1.2942,                0.93302,                 1.0761,                0.25896,                0.18106,                0.18681,                0.08634,                 2.3845,                 2.2981,                 1.8997,              0.0004674,              0.0004674,              0.0004674
                    135,                 1.3134,                0.93811,                 1.0784,                0.55041,                0.20916,                0.20627,                0.09484,                 2.3757,                 2.3194,                 1.8929,             0.00046465,             0.00046465,             0.00046465
                    136,                 1.3028,                0.93409,                 1.0942,                0.49085,                0.20398,                0.19797,                0.08536,                 2.3496,                 2.2669,                 1.8946,              0.0004619,              0.0004619,              0.0004619
                    137,                 1.3452,                0.95689,                 1.1017,                0.37197,                 0.1852,                0.18826,                0.08744,                 2.3789,                   2.37,                 1.9521,             0.00045915,             0.00045915,             0.00045915
                    138,                 1.3031,                0.93442,                 1.0928,                0.33168,                0.16223,                0.19664,                0.09135,                 2.3466,                 2.4493,                 1.9037,              0.0004564,              0.0004564,              0.0004564
                    139,                 1.3062,                 0.9337,                  1.081,                 0.6303,                0.17818,                0.20732,                 0.0998,                 2.3706,                 2.4248,                 1.9389,             0.00045365,             0.00045365,             0.00045365
                    140,                 1.2732,                0.91635,                 1.0667,                0.57288,                0.22031,                0.22365,                0.10595,                 2.3928,                  2.344,                 1.9071,              0.0004509,              0.0004509,              0.0004509
                    141,                 1.2631,                0.90587,                 1.0652,                0.57559,                0.19724,                 0.2241,                0.10293,                 2.4052,                 2.3704,                 1.9163,             0.00044815,             0.00044815,             0.00044815
                    142,                 1.3053,                0.94179,                 1.0951,                0.44732,                0.17496,                0.19894,                0.09357,                 2.3931,                 2.3345,                 1.9124,             0.00044541,             0.00044541,             0.00044541
                    143,                  1.304,                0.91642,                 1.0819,                0.47627,                0.17827,                0.20832,                0.10157,                 2.3818,                 2.3891,                 1.9161,             0.00044266,             0.00044266,             0.00044266
                    144,                  1.289,                 0.9078,                 1.0748,                0.49798,                0.18532,                0.21745,                0.10335,                 2.3685,                 2.4659,                 1.9273,             0.00043991,             0.00043991,             0.00043991
